timestamp,event_type,steering,throttle,brake,instruction
1712932480.3742204,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.389251,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.4057758,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.42179,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.4430656,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.4533248,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.4693575,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.4913473,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.5018566,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.5173836,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.5329046,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.550013,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.5710096,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.5807617,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.5968182,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.6198363,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.6297097,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.6447172,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.661809,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.6836007,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.6931508,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.7093391,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.7323415,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.7414098,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.7569091,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.774481,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.7957606,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.8118145,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.8213065,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.843801,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.855285,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.870325,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.8868196,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.90883,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.9253032,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.9338222,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.950306,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.9722128,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.9826257,control,0.0,0.6212635577612914,0.6212635577612914,
1712932480.998866,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.0203874,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.032114,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.0476072,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.0633724,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.0852067,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.1128297,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.1203256,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.1332314,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.1488342,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.1656837,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.1881166,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.1969976,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.2142398,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.236728,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.2452545,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.2616868,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.283674,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.2931767,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.309419,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.3329313,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.3414705,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.364279,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.3728118,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.3889885,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.4119606,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.4280066,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.4369903,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.4534678,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.4760547,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.4852595,control,0.0,0.6212635577612914,0.6212635577612914,
1712932481.5012822,control,0.0,0.6212635577612914,0.6212635577612914,
