timestamp,event_type,steering,throttle,brake,instruction,user_response,button_pressed
1714170833.2602572,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.2755554,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.303121,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.3081234,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.32376,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.3394604,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.3559754,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.3721068,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.3879828,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.4144447,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.419958,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.436016,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.4635754,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.468081,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.485161,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.5011933,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.516407,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.5439894,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.5595567,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.575073,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.5921128,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.61864,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.623645,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.640011,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.6555405,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.672139,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.698671,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.7141893,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.7297733,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.7463698,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.773001,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.7780027,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.7941093,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.8206458,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.8256445,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.8521864,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.8712313,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.8978763,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.9023895,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.9182742,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.946357,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.9508715,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.9669907,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.9830334,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170833.9988892,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170834.015284,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170834.030417,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170834.0463634,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170834.0732186,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170834.0782158,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170834.105538,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170834.120663,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170834.1366086,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170834.1525304,control,0.0,0.6212635577612914,0.6212635577612914,,,
1714170834.1808507,control,0.019674168715942564,0,0,,,
1714170834.18685,control,0.019674168715942564,0,0,,,
1714170834.2011843,control,0.019674168715942564,0,0,,,
1714170834.2178926,control,0.019674168715942564,0,0,,,
1714170834.2332232,control,0.019674168715942564,0,0,,,
1714170834.2612822,control,0.019674168715942564,0,0,,,
1714170834.2652817,control,0.019674168715942564,0,0,,,
1714170834.2812934,control,0.019674168715942564,0,0,,,
1714170834.2978294,control,0.019674168715942564,0,0,,,
1714170834.3133059,control,0.019674168715942564,0,0,,,
1714170834.329328,control,0.019674168715942564,0,0,,,
1714170834.3458478,control,0.019674168715942564,0,0,,,
1714170834.361759,control,0.019674168715942564,0,0,,,
1714170834.3772728,control,0.019674168715942564,0,0,,,
1714170834.4062252,control,0.019674168715942564,0,0,,,
1714170834.421253,control,0.019674168715942564,0,0,,,
1714170834.4371917,control,0.019674168715942564,0,0,,,
1714170834.4538674,control,0.019674168715942564,0,0,,,
1714170834.469923,control,0.019674168715942564,0,0,,,
1714170834.4859912,control,0.019674168715942564,0,0,,,
1714170834.5121422,control,0.019674168715942564,0,0,,,
1714170834.518143,control,0.019674168715942564,0,0,,,
1714170834.5378034,control,0.019674168715942564,0,0,,,
1714170834.5522163,control,0.019674168715942564,0,0,,,
1714170834.5687437,control,0.019674168715942564,0,0,,,
1714170834.5842574,control,0.019674168715942564,0,0,,,
1714170834.600284,control,0.019674168715942564,0,0,,,
1714170834.6167972,control,0.019674168715942564,0,0,,,
1714170834.6443923,control,0.019674168715942564,0,0,,,
1714170834.6594067,control,0.019674168715942564,0,0,,,
1714170834.6870522,control,0.019674168715942564,0,0,,,
1714170834.6915689,control,0.019674168715942564,0,0,,,
1714170834.7082386,control,0.019674168715942564,0,0,,,
1714170834.7237628,control,0.019674168715942564,0,0,,,
1714170834.740793,control,0.019674168715942564,0,0,,,
1714170834.755326,control,0.019674168715942564,0,0,,,
1714170834.7721353,control,0.019674168715942564,0,0,,,
1714170834.7882469,control,0.019674168715942564,0,0,,,
1714170834.8142874,control,0.019674168715942564,0,0,,,
1714170834.8309088,control,0.019674168715942564,0,0,,,
1714170834.8464198,control,0.019674168715942564,0,0,,,
1714170834.8636425,control,0.019674168715942564,0,0,,,
1714170834.8793528,control,0.019674168715942564,0,0,,,
1714170834.8948753,control,0.019674168715942564,0,0,,,
1714170834.9110408,control,0.019674168715942564,0,0,,,
1714170834.9300928,control,0.019674168715942564,0,0,,,
1714170834.9578645,control,0.019674168715942564,0,0,,,
1714170834.9633796,control,0.019674168715942564,0,0,,,
1714170834.9894133,control,0.019674168715942564,0,0,,,
1714170835.0180945,control,0.019674168715942564,0.017267888969123124,0,,,
1714170835.0246866,control,0.019674168715942564,0.059365196501131035,0,,,
1714170835.0396767,control,0.019674168715942564,0.1571726969083409,0,,,
1714170835.066806,control,0.019674168715942564,0.199662632348784,0,,,
1714170835.0713158,control,0.019674168715942564,0.19370895502001195,0,,,
1714170835.088167,control,0.019674168715942564,0.18169057485634932,0,,,
1714170835.1032977,control,0.005706849061957913,0.16952105635545944,0,,,
1714170835.1201549,control,0.005337575101848025,0.1571726969083409,0,,,
1714170835.1479347,control,0.005136153561758657,0.13838607675206616,0,,,
1714170835.164476,control,0.005136153561758657,0.10624112294099608,0,,,
1714170835.180681,control,0.005136153561758657,0.038558918418420296,0,,,
1714170835.1971955,control,0.005136153561758657,0.0028277482171481516,0,,,
1714170835.2239456,control,0.005136153561758657,0,0,,,
1714170835.238969,control,0.005136153561758657,0,0,,,
1714170835.25448,control,0.005136153561758657,0,0,,,
1714170835.2718341,control,0.005136153561758657,0.03152288171889883,0,,,
1714170835.288048,control,0.005136153561758657,0.09307808641129256,0,,,
1714170835.3151608,control,0.005136153561758657,0.16335472196081402,0,,,
1714170835.319669,control,0.005136153561758657,0.16952105635545944,0,,,
1714170835.3360875,control,0.005136153561758657,0.21730699790394592,0,,,
1714170835.3515522,control,0.005136153561758657,0.2572675978861203,0,,,
1714170835.369255,control,0.005136153561758657,0.31165567933855187,0,,,
1714170835.3857908,control,0.005136153561758657,0.3878751353819707,0,,,
1714170835.4019258,control,0.005136153561758657,0.44941734729060534,0,,,
1714170835.4179695,control,0.005136153561758657,0.5115882385542678,0,,,
1714170835.4453044,control,0.005136153561758657,0.6135395950806545,0,,,
1714170835.4498146,control,0.005136153561758657,0.6212487913919204,0,,,
1714170835.4660141,control,0.005136153561758657,0.6510419503633152,0,,,
1714170835.492182,control,0.005136153561758657,0.7010460607425574,0,,,
1714170835.4971821,control,0.005136153561758657,0.7114331522353371,0,,,
1714170835.513984,control,0.005136153561758657,0.7217099362473083,0,,,
1714170835.529579,control,0.005136153561758657,0.7251114209440678,0,,,
1714170835.548115,control,0.005136153561758657,0.7251114209440678,0,,,
1714170835.5636492,control,0.005136153561758657,0.7251114209440678,0,,,
1714170835.5901875,control,0.005102583346035085,0.7251114209440678,0,,,
1714170835.5951936,control,0.004934732438411475,0.7251114209440678,0,,,
1714170835.6119616,control,0.004901162290555939,0.731878731038892,0,,,
1714170835.6384954,control,0.004296901444789367,0.7584844315286202,0,,,
1714170835.6445026,control,0.004162621698497378,0.7650231145123714,0,,,
1714170835.6601737,control,0.003692643736813869,0.7907447988173995,0,,,
1714170835.6762016,control,0.003054819072701254,0.8127037630314176,0,,,
1714170835.6922326,control,0.0021820102989008315,0.8372043476161997,0,,,
1714170835.7193732,control,0.0005371094266496038,0.8610999172391722,0,,,
1714170835.7359152,control,-0.000436401394891156,0.8669827402182236,0,,,
1714170835.750849,control,-0.0012084966820715434,0.8786421752334822,0,,,
1714170835.766436,control,-0.0018127461262116592,0.8901628041524876,0,,,
1714170835.7948258,control,-0.0020813018333903,0.9183782547191166,0,,,
1714170835.8003416,control,-0.0020813018333903,0.9211550755624077,0,,,
1714170835.8184175,control,-0.0020813018333903,0.9266849271804737,0,,,
1714170835.8338816,control,-0.0018798850269796355,0.9321833590175354,0,,,
1714170835.8492494,control,-0.0014770518554011664,0.9349209036999581,0,,,
1714170835.8654833,control,-0.0011077885390948503,0.9376507261022167,0,,,
1714170835.8812137,control,-0.0006378174693028928,0.9403728696690115,0,,,
1714170835.8979232,control,-0.0003021240326300191,0.9430873774794483,0,,,
1714170835.9139698,control,-6.713867197587813e-05,0.9430873774794483,0,,,
1714170835.9434042,control,-3.356933595010977e-05,0.9430873774794483,0,,,
1714170835.959038,control,-3.356933595010977e-05,0.9457942922511292,0,,,
